Stan;Ropa;Gas;Wegiel;Atom
    United States;38333,3;22844,5;21904,7;8032,7
Alabama;539,6;342,3;845,6;317,2
Alaska;292,2;413,1;15,9;0
Arizona;524,2;245,2;424,1;300,1
Arkansas;378,6;231,6;274;154,4
California;3604,4;2513,9;67,9;347,1
Colorado;461,8;385;400,3;0
Connecticut;438,7;149,4;40;161,2
Delaware;146,5;51,8;38,3;0
District of Columbia;33,5;30,6;0,7;0
Florida;1989,7;569,8;726,1;330
Georgia;1034;362,7;772;351,9
Hawaii;239,8;2,9;17,6;0
Idaho;155,3;81,8;11,2;0
Illinois;1304,1;970,7;993,6;965
Indiana;837,3;513,7;1567,1;0
Iowa;400,9;225,2;444,9;40,3
Kansas;391;273,8;354,6;108,1
Kentucky;704,3;216,7;1010,7;0
Louisiana;1491,4;1339,5;240;181,1
Maine;233,4;101,2;7,9;0
Maryland;568,1;191,4;317,3;142,7
Massachusetts;762,4;364,1;109;53,7
Michigan;1041,7;928,7;796,5;279,1
Minnesota;673,5;345;353,1;123,2
Mississippi;485,5;340,8;198,3;103,7
Missouri;718,8;288,6;716,1;87,6
Montana;168;66,5;184,3;0
Nebraska;217,8;124,1;227,5;91,2
Nevada;250,2;181,3;188,6;0
New Hampshire;178,3;24,8;40,1;90,8
New Jersey;1246,3;585,8;112,2;318,3
New Mexico;251;262,1;297,1;0
New York;1712,5;1205,9;315;422
North Carolina;949,6;215,6;756,5;394,7
North Dakota;138;62,6;419,8;0
Ohio;1305,2;835,7;1343;161,6
Oklahoma;588,4;548,4;376,8;0
Oregon;368,2;235,5;43,4;0
Pennsylvania;1454,4;669,1;1378,5;770,3
Rhode Island;99,8;98,6;0,5;0
South Carolina;469,5;147,2;414,4;521
South Dakota;111,9;37;44,3;0
Tennessee;708,2;265,4;688;298,6
Texas;5521;4434,6;1493,4;398,7
Utah;261,4;168,1;389,6;0
Vermont;88,9;8;0,5;43,6
Virginia;911,2;246,7;482,4;269,1
Washington;842,5;323,1;99,5;86,2
West Virginia;215;152,2;872,3;0
Wisconsin;668,4;363;494,7;120,2
Wyoming;157;104;500,2;0
